Player,Team,S/C,Pos,GP,G,A,+/-,PIM,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,TOI/GP,FOW%
Leon Draisaitl,EDM,L,C,71,43,67,-7,18,27,66,16,44,0,0,2,10,218,22:37,52.1
Connor McDavid,EDM,L,C,64,34,63,-6,28,23,54,11,43,0,0,0,6,212,21:52,47.8
David Pastrnak,BOS,R,R,70,48,47,21,40,28,57,20,38,0,0,1,10,279,18:58,38.9
Artemi Panarin,NYR,R,L,69,32,63,36,20,25,71,7,24,0,0,0,4,209,20:36,50
Nathan MacKinnon,COL,R,C,69,35,58,13,12,23,62,12,31,0,0,2,4,318,21:13,43.1
Brad Marchand,BOS,L,L,70,28,59,25,82,22,56,5,28,1,3,0,5,185,19:27,43.1
Nikita Kucherov,TBL,L,R,68,33,52,26,38,29,60,4,25,0,0,3,6,210,18:52,0
Patrick Kane,CHI,L,R,70,33,51,8,40,25,61,8,23,0,0,1,2,275,21:20,25
Auston Matthews,TOR,L,C,70,47,33,19,8,35,55,12,25,0,0,0,5,290,20:58,55
Jonathan Huberdeau,FLA,L,L,69,23,55,5,30,18,49,5,29,0,0,1,3,152,18:46,39.3
Jack Eichel,BUF,R,C,68,36,42,5,34,24,50,11,27,1,1,3,9,227,22:06,46.8
John Carlson,WSH,R,D,69,15,60,12,26,13,49,2,26,0,0,0,6,189,24:38:00,0
Mika Zibanejad,NYR,R,C,57,41,34,9,14,23,43,15,27,3,5,2,6,208,21:38,49.2
Evgeni Malkin,PIT,L,C,55,25,49,7,58,18,50,7,24,0,0,0,5,171,19:31,50.3
Mark Scheifele,WPG,R,C,71,29,44,2,45,19,53,10,20,0,0,2,6,170,21:48,46.9
Kyle Connor,WPG,L,L,71,38,35,4,34,28,54,9,17,1,2,1,7,239,21:05,15.4
J.T. Miller,VAN,L,C,69,27,45,11,47,18,45,9,25,0,2,1,3,165,20:06,59.2
Alex Ovechkin,WSH,R,L,68,48,19,-12,30,35,49,13,18,0,0,1,3,311,20:40,100
Mitchell Marner,TOR,R,R,59,16,51,6,16,10,42,6,24,0,1,1,2,154,21:33,26.9
Max Pacioretty,VGK,L,L,71,32,34,18,44,24,47,8,19,0,0,1,5,307,17:55,53.1
Steven Stamkos,TBL,R,C,57,29,37,14,22,19,47,10,19,0,0,0,6,176,18:25,54.3
Sebastian Aho,CAR,L,C,68,38,28,10,26,26,44,8,17,4,5,0,5,206,19:25,46
Elias Pettersson,VAN,L,C,68,27,39,16,18,19,42,8,24,0,0,1,5,162,18:32,41.8
Blake Wheeler,WPG,R,R,71,22,43,1,37,17,41,4,22,1,2,0,2,180,19:19,49.9
Roman Josi,NSH,L,D,69,16,49,22,41,12,42,4,23,0,0,0,1,260,25:47:00,--
Brayden Point,TBL,R,C,66,25,39,28,11,17,51,8,13,0,0,0,4,141,18:54,51.1
Mark Stone,VGK,R,R,65,21,42,15,27,15,45,6,17,0,1,0,3,168,19:25,34.8
Teuvo Teravainen,CAR,L,L,68,15,48,20,8,10,38,4,21,1,4,0,1,182,19:12,49.1
Patrik Laine,WPG,R,L,68,28,35,8,22,20,47,8,16,0,0,0,1,226,19:25,37
